               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10994,            0.018274,            0.052731,            0.005875,             0.45833,            0.007024,           0.0030646,            0.067287,            0.010152,            0.035037,              0.0946,              0.0006,              0.0006
                   1,             0.10461,            0.019208,            0.052877,           0.0050169,             0.41667,           0.0061351,           0.0020012,            0.064993,            0.010428,            0.035056,            0.088296,           0.0012957,           0.0012957
                   2,             0.10027,            0.020273,            0.052664,             0.00328,             0.54167,           0.0077826,           0.0029454,             0.06267,            0.010636,            0.035046,            0.081987,           0.0019868,           0.0019868
                   3,            0.093921,             0.01967,             0.05248,           0.0025302,             0.54167,           0.0070855,            0.002433,            0.061203,            0.010839,            0.035065,            0.075673,           0.0026733,           0.0026733
                   4,            0.082686,            0.021999,             0.05001,           0.0027513,                 0.5,           0.0077938,           0.0026232,            0.059228,            0.011159,            0.035083,            0.069355,           0.0033551,           0.0033551
                   5,            0.083747,            0.023778,            0.052174,          0.00095666,               0.375,           0.0012516,          0.00053917,            0.057958,            0.011216,            0.035092,            0.063032,           0.0040324,           0.0040324
                   6,            0.082133,            0.022688,            0.052113,           0.0011531,               0.375,           0.0032929,           0.0015005,             0.05674,            0.011354,            0.035101,            0.056705,            0.004705,            0.004705
                   7,            0.075294,            0.021963,            0.052087,          0.00022001,                0.25,           0.0022092,          0.00048242,            0.056228,            0.011337,            0.035101,            0.050373,           0.0053729,           0.0053729
                   8,            0.073678,            0.023831,            0.051992,          0.00028273,                0.25,           0.0003629,          8.6386e-05,              0.0555,            0.011411,             0.03511,            0.044036,           0.0060363,           0.0060363
                   9,            0.073365,            0.024574,             0.05138,          0.00012314,             0.13889,          0.00018462,          4.2396e-05,               0.054,            0.011508,            0.035092,            0.037695,           0.0066951,           0.0066951
                  10,            0.071472,            0.024011,            0.051341,           0.0016068,             0.20556,           0.0013336,          0.00041533,            0.052383,            0.011765,            0.035056,            0.031349,           0.0073492,           0.0073492
                  11,            0.067664,            0.026013,            0.050578,           0.0027714,             0.48333,            0.013388,           0.0031828,            0.047257,            0.012649,            0.034946,            0.024999,           0.0079987,           0.0079987
                  12,             0.06792,            0.024678,             0.04988,           0.0024975,               0.525,            0.018249,           0.0041058,            0.045068,            0.012797,            0.034927,            0.018644,           0.0086436,           0.0086436
                  13,            0.062745,            0.023716,            0.047537,            0.003973,                   1,             0.11818,            0.022906,            0.037996,            0.013638,            0.034753,            0.012284,           0.0092839,           0.0092839
                  14,            0.067372,            0.025334,            0.050512,           0.0033703,               0.875,             0.10449,            0.021512,            0.037133,            0.013687,            0.034525,            0.009538,            0.009538,            0.009538
                  15,            0.063554,            0.023863,            0.050571,           0.0032107,             0.95833,            0.055076,            0.017535,            0.039864,            0.011951,            0.034039,            0.009538,            0.009538,            0.009538
                  16,             0.06411,            0.025073,            0.049248,           0.0027081,             0.69167,             0.06542,            0.018167,            0.053617,           0.0097387,            0.041254,            0.009505,            0.009505,            0.009505
                  17,            0.065792,            0.021981,            0.049535,           0.0024871,                 0.7,            0.050986,            0.015317,            0.068387,           0.0081122,            0.058759,            0.009472,            0.009472,            0.009472
                  18,            0.063602,             0.02355,            0.048629,           0.0025105,             0.66667,            0.052662,           0.0093107,            0.068053,             0.00812,             0.05929,            0.009439,            0.009439,            0.009439
                  19,            0.057198,            0.022628,            0.048609,           0.0033686,             0.91667,            0.024884,           0.0093737,             0.04646,            0.010691,            0.038745,            0.009406,            0.009406,            0.009406
                  20,            0.056603,            0.027346,            0.047534,             0.01077,             0.66667,            0.079732,            0.019073,            0.041993,            0.011785,            0.036731,            0.009373,            0.009373,            0.009373
